ENTREZID,SYMBOL,ID
PAD,PAD,0
SEP,SEP,1
UNKNOWN,UNKNOWN,2
MASK,MASK,3
1,A1BG,4
2,A2M,5
9,NAT1,6
10,NAT2,7
12,SERPINA3,8
13,AADAC,9
14,AAMP,10
15,AANAT,11
16,AARS1,12
18,ABAT,13
19,ABCA1,14
20,ABCA2,15
21,ABCA3,16
22,ABCB7,17
23,ABCF1,18
24,ABCA4,19
25,ABL1,20
26,AOC1,21
27,ABL2,22
28,ABO,23
29,ABR,24
30,ACAA1,25
31,ACACA,26
32,ACACB,27
33,ACADL,28
34,ACADM,29
35,ACADS,30
36,ACADSB,31
37,ACADVL,32
38,ACAT1,33
39,ACAT2,34
40,ASIC2,35
41,ASIC1,36
43,ACHE,37
47,ACLY,38
48,ACO1,39
50,ACO2,40
51,ACOX1,41
52,ACP1,42
53,ACP2,43
54,ACP5,44
55,ACPP,45
56,ACRV1,46
58,ACTA1,47
59,ACTA2,48
60,ACTB,49
70,ACTC1,50
71,ACTG1,51
72,ACTG2,52
81,ACTN4,53
86,ACTL6A,54
87,ACTN1,55
88,ACTN2,56
89,ACTN3,57
90,ACVR1,58
91,ACVR1B,59
92,ACVR2A,60
93,ACVR2B,61
94,ACVRL1,62
97,ACYP1,63
98,ACYP2,64
100,ADA,65
101,ADAM8,66
102,ADAM10,67
103,ADAR,68
104,ADARB1,69
105,ADARB2,70
107,ADCY1,71
108,ADCY2,72
109,ADCY3,73
111,ADCY5,74
112,ADCY6,75
113,ADCY7,76
114,ADCY8,77
115,ADCY9,78
116,ADCYAP1,79
117,ADCYAP1R1,80
118,ADD1,81
119,ADD2,82
120,ADD3,83
123,PLIN2,84
124,ADH1A,85
125,ADH1B,86
126,ADH1C,87
127,ADH4,88
128,ADH5,89
130,ADH6,90
131,ADH7,91
132,ADK,92
133,ADM,93
134,ADORA1,94
136,ADORA2B,95
140,ADORA3,96
141,ADPRH,97
142,PARP1,98
143,PARP4,99
146,ADRA1D,100
147,ADRA1B,101
148,ADRA1A,102
150,ADRA2A,103
151,ADRA2B,104
152,ADRA2C,105
153,ADRB1,106
154,ADRB2,107
155,ADRB3,108
156,GRK2,109
157,GRK3,110
158,ADSL,111
159,ADSS2,112
160,AP2A1,113
161,AP2A2,114
162,AP1B1,115
163,AP2B1,116
164,AP1G1,117
165,AEBP1,118
166,TLE5,119
167,CRISP1,120
173,AFM,121
174,AFP,122
175,AGA,123
176,ACAN,124
177,AGER,125
178,AGL,126
181,AGRP,127
182,JAG1,128
183,AGT,129
185,AGTR1,130
186,AGTR2,131
187,APLNR,132
189,AGXT,133
190,NR0B1,134
191,AHCY,135
196,AHR,136
197,AHSG,137
199,AIF1,138
202,CRYBG1,139
203,AK1,140
204,AK2,141
205,AK4,142
207,AKT1,143
208,AKT2,144
210,ALAD,145
211,ALAS1,146
212,ALAS2,147
213,ALB,148
214,ALCAM,149
215,ABCD1,150
216,ALDH1A1,151
217,ALDH2,152
218,ALDH3A1,153
219,ALDH1B1,154
220,ALDH1A3,155
221,ALDH3B1,156
222,ALDH3B2,157
223,ALDH9A1,158
224,ALDH3A2,159
225,ABCD2,160
226,ALDOA,161
229,ALDOB,162
230,ALDOC,163
238,ALK,164
239,ALOX12,165
240,ALOX5,166
241,ALOX5AP,167
242,ALOX12B,168
246,ALOX15,169
247,ALOX15B,170
248,ALPI,171
249,ALPL,172
250,ALPP,173
251,ALPG,174
257,ALX3,175
258,AMBN,176
259,AMBP,177
262,AMD1,178
265,AMELX,179
266,AMELY,180
267,AMFR,181
268,AMH,182
269,AMHR2,183
270,AMPD1,184
271,AMPD2,185
272,AMPD3,186
273,AMPH,187
274,BIN1,188
275,AMT,189
283,ANG,190
284,ANGPT1,191
285,ANGPT2,192
286,ANK1,193
287,ANK2,194
288,ANK3,195
290,ANPEP,196
291,SLC25A4,197
292,SLC25A5,198
293,SLC25A6,199
301,ANXA1,200
302,ANXA2,201
303,ANXA2P1,202
305,ANXA2P3,203
306,ANXA3,204
307,ANXA4,205
308,ANXA5,206
309,ANXA6,207
310,ANXA7,208
311,ANXA11,209
312,ANXA13,210
313,AOAH,211
314,AOC2,212
316,AOX1,213
317,APAF1,214
318,NUDT2,215
319,APOF,216
320,APBA1,217
321,APBA2,218
322,APBB1,219
323,APBB2,220
324,APC,221
325,APCS,222
326,AIRE,223
327,APEH,224
328,APEX1,225
329,BIRC2,226
330,BIRC3,227
331,XIAP,228
332,BIRC5,229
333,APLP1,230
334,APLP2,231
335,APOA1,232
336,APOA2,233
337,APOA4,234
338,APOB,235
339,APOBEC1,236
341,APOC1,237
342,APOC1P1,238
343,AQP8,239
345,APOC3,240
347,APOD,241
348,APOE,242
350,APOH,243
351,APP,244
353,APRT,245
354,KLK3,246
355,FAS,247
356,FASLG,248
357,SHROOM2,249
358,AQP1,250
359,AQP2,251
360,AQP3,252
361,AQP4,253
362,AQP5,254
363,AQP6,255
364,AQP7,256
366,AQP9,257
367,AR,258
368,ABCC6,259
369,ARAF,260
372,ARCN1,261
373,TRIM23,262
374,AREG,263
375,ARF1,264
377,ARF3,265
378,ARF4,266
379,ARL4D,267
381,ARF5,268
382,ARF6,269
383,ARG1,270
384,ARG2,271
387,RHOA,272
388,RHOB,273
389,RHOC,274
390,RND3,275
391,RHOG,276
392,ARHGAP1,277
393,ARHGAP4,278
394,ARHGAP5,279
395,ARHGAP6,280
396,ARHGDIA,281
397,ARHGDIB,282
398,ARHGDIG,283
399,RHOH,284
400,ARL1,285
401,PHOX2A,286
402,ARL2,287
403,ARL3,288
405,ARNT,289
406,ARNTL,290
407,ARR3,291
408,ARRB1,292
409,ARRB2,293
410,ARSA,294
411,ARSB,295
412,STS,296
414,ARSD,297
415,ARSL,298
416,ARSF,299
417,ART1,300
419,ART3,301
420,ART4,302
